from,to,0
Arizona Diamondbacks,Atlanta Braves,1
Arizona Diamondbacks,Boston Red Sox,3
Arizona Diamondbacks,Cincinnati Reds,1
Arizona Diamondbacks,Houston Astros,1
Arizona Diamondbacks,Kansas City Royals,2
Arizona Diamondbacks,Los Angeles Angels,1
Arizona Diamondbacks,Los Angeles Dodgers,1
Arizona Diamondbacks,Miami Marlins,3
Arizona Diamondbacks,Minnesota Twins,3
Arizona Diamondbacks,New York Yankees,2
Arizona Diamondbacks,San Francisco Giants,1
Arizona Diamondbacks,Seattle Mariners,3
Arizona Diamondbacks,St. Louis Cardinals,1
Arizona Diamondbacks,Tampa Bay Rays,6
Atlanta Braves,Arizona Diamondbacks,1
Atlanta Braves,Baltimore Orioles,5
Atlanta Braves,Cincinnati Reds,3
Atlanta Braves,Detroit Tigers,2
Atlanta Braves,Los Angeles Angels,2
Atlanta Braves,Los Angeles Dodgers,1
Atlanta Braves,Minnesota Twins,1
Atlanta Braves,San Francisco Giants,2
Atlanta Braves,Seattle Mariners,3
Atlanta Braves,Texas Rangers,2
Baltimore Orioles,Arizona Diamondbacks,1
Baltimore Orioles,Atlanta Braves,3
Baltimore Orioles,Boston Red Sox,1
Baltimore Orioles,Detroit Tigers,1
Baltimore Orioles,Kansas City Royals,1
Baltimore Orioles,Los Angeles Angels,1
Baltimore Orioles,Los Angeles Dodgers,2
Baltimore Orioles,Miami Marlins,1
Baltimore Orioles,Milwaukee Brewers,1
Baltimore Orioles,New York Yankees,1
Baltimore Orioles,Philadelphia Phillies,1
Baltimore Orioles,Pittsburgh Pirates,1
Baltimore Orioles,San Francisco Giants,2
Baltimore Orioles,Seattle Mariners,1
Boston Red Sox,Arizona Diamondbacks,2
Boston Red Sox,Baltimore Orioles,2
Boston Red Sox,Cincinnati Reds,1
Boston Red Sox,Detroit Tigers,1
Boston Red Sox,Los Angeles Angels,2
Boston Red Sox,Miami Marlins,2
Boston Red Sox,Minnesota Twins,1
Boston Red Sox,Pittsburgh Pirates,1
Boston Red Sox,San Diego Padres,1
Boston Red Sox,Seattle Mariners,1
Boston Red Sox,Tampa Bay Rays,1
Boston Red Sox,Texas Rangers,1
Chicago Cubs,Baltimore Orioles,1
Chicago Cubs,Colorado Rockies,1
Chicago Cubs,Detroit Tigers,2
Chicago Cubs,Houston Astros,1
Chicago Cubs,Kansas City Royals,2
Chicago Cubs,Los Angeles Angels,1
Chicago Cubs,Los Angeles Dodgers,1
Chicago Cubs,Minnesota Twins,1
Chicago Cubs,Oakland Athletics,1
Chicago Cubs,San Diego Padres,2
Chicago Cubs,Texas Rangers,5
Chicago Cubs,Toronto Blue Jays,1
Chicago Cubs,Washington Nationals,3
Chicago White Sox,Arizona Diamondbacks,1
Chicago White Sox,Cincinnati Reds,1
Chicago White Sox,Cleveland Indians,1
Chicago White Sox,Los Angeles Dodgers,1
Chicago White Sox,Milwaukee Brewers,5
Chicago White Sox,Philadelphia Phillies,2
Chicago White Sox,Pittsburgh Pirates,1
Chicago White Sox,Seattle Mariners,1
Chicago White Sox,Tampa Bay Rays,1
Chicago White Sox,Texas Rangers,3
Cincinnati Reds,Arizona Diamondbacks,1
Cincinnati Reds,Atlanta Braves,2
Cincinnati Reds,Cleveland Indians,2
Cincinnati Reds,Los Angeles Angels,1
Cincinnati Reds,Los Angeles Dodgers,6
Cincinnati Reds,Miami Marlins,1
Cincinnati Reds,New York Mets,1
Cincinnati Reds,New York Yankees,2
Cincinnati Reds,Oakland Athletics,1
Cincinnati Reds,San Diego Padres,2
Cincinnati Reds,San Francisco Giants,2
Cincinnati Reds,Tampa Bay Rays,1
Cincinnati Reds,Texas Rangers,1
Cincinnati Reds,Washington Nationals,1
Cleveland Indians,Baltimore Orioles,1
Cleveland Indians,Chicago White Sox,1
Cleveland Indians,Cincinnati Reds,1
Cleveland Indians,Detroit Tigers,3
Cleveland Indians,Houston Astros,1
Cleveland Indians,Miami Marlins,1
Cleveland Indians,Milwaukee Brewers,1
Cleveland Indians,Minnesota Twins,1
Cleveland Indians,New York Mets,3
Cleveland Indians,New York Yankees,2
Cleveland Indians,Pittsburgh Pirates,4
Cleveland Indians,San Diego Padres,2
Cleveland Indians,Seattle Mariners,1
Cleveland Indians,St. Louis Cardinals,2
Cleveland Indians,Tampa Bay Rays,4
Cleveland Indians,Texas Rangers,2
Cleveland Indians,Toronto Blue Jays,2
Cleveland Indians,Washington Nationals,1
Colorado Rockies,Kansas City Royals,1
Colorado Rockies,New York Yankees,2
Colorado Rockies,Philadelphia Phillies,1
Colorado Rockies,Toronto Blue Jays,2
Detroit Tigers,Atlanta Braves,2
Detroit Tigers,Boston Red Sox,1
Detroit Tigers,Chicago Cubs,1
Detroit Tigers,Cleveland Indians,1
Detroit Tigers,New York Yankees,1
Detroit Tigers,Oakland Athletics,1
Houston Astros,Arizona Diamondbacks,4
Houston Astros,Chicago Cubs,1
Houston Astros,Cleveland Indians,1
Houston Astros,Los Angeles Angels,2
Houston Astros,Los Angeles Dodgers,1
Houston Astros,Minnesota Twins,2
Houston Astros,New York Mets,3
Houston Astros,Tampa Bay Rays,2
Houston Astros,Toronto Blue Jays,4
Kansas City Royals,Arizona Diamondbacks,2
Kansas City Royals,Atlanta Braves,2
Kansas City Royals,Chicago Cubs,3
Kansas City Royals,Colorado Rockies,2
Kansas City Royals,Los Angeles Angels,1
Kansas City Royals,Milwaukee Brewers,1
Kansas City Royals,New York Yankees,3
Kansas City Royals,Oakland Athletics,4
Kansas City Royals,Texas Rangers,1
Kansas City Royals,Toronto Blue Jays,2
Kansas City Royals,Washington Nationals,2
Los Angeles Angels,Arizona Diamondbacks,1
Los Angeles Angels,Atlanta Braves,1
Los Angeles Angels,Baltimore Orioles,4
Los Angeles Angels,Boston Red Sox,1
Los Angeles Angels,Chicago Cubs,1
Los Angeles Angels,Houston Astros,3
Los Angeles Angels,Miami Marlins,3
Los Angeles Angels,Minnesota Twins,2
Los Angeles Angels,Philadelphia Phillies,1
Los Angeles Angels,Pittsburgh Pirates,1
Los Angeles Angels,San Francisco Giants,5
Los Angeles Angels,Tampa Bay Rays,1
Los Angeles Dodgers,Baltimore Orioles,6
Los Angeles Dodgers,Chicago Cubs,1
Los Angeles Dodgers,Chicago White Sox,2
Los Angeles Dodgers,Cincinnati Reds,8
Los Angeles Dodgers,Houston Astros,1
Los Angeles Dodgers,Los Angeles Angels,2
Los Angeles Dodgers,Miami Marlins,1
Los Angeles Dodgers,Minnesota Twins,3
Los Angeles Dodgers,New York Yankees,1
Los Angeles Dodgers,Oakland Athletics,1
Los Angeles Dodgers,Pittsburgh Pirates,1
Los Angeles Dodgers,Seattle Mariners,1
Los Angeles Dodgers,St. Louis Cardinals,3
Los Angeles Dodgers,Tampa Bay Rays,4
Los Angeles Dodgers,Toronto Blue Jays,3
Los Angeles Dodgers,Washington Nationals,1
Miami Marlins,Arizona Diamondbacks,2
Miami Marlins,Boston Red Sox,2
Miami Marlins,Cincinnati Reds,1
Miami Marlins,Cleveland Indians,1
Miami Marlins,Houston Astros,2
Miami Marlins,Los Angeles Angels,2
Miami Marlins,Milwaukee Brewers,1
Miami Marlins,Minnesota Twins,3
Miami Marlins,New York Yankees,1
Miami Marlins,Philadelphia Phillies,2
Miami Marlins,Seattle Mariners,1
Miami Marlins,St. Louis Cardinals,1
Miami Marlins,Tampa Bay Rays,2
Miami Marlins,Washington Nationals,1
Milwaukee Brewers,Baltimore Orioles,4
Milwaukee Brewers,Chicago White Sox,4
Milwaukee Brewers,Cincinnati Reds,1
Milwaukee Brewers,Cleveland Indians,2
Milwaukee Brewers,Kansas City Royals,2
Milwaukee Brewers,Miami Marlins,4
Milwaukee Brewers,Minnesota Twins,1
Milwaukee Brewers,New York Mets,1
Milwaukee Brewers,New York Yankees,1
Milwaukee Brewers,Oakland Athletics,1
Milwaukee Brewers,Pittsburgh Pirates,1
Milwaukee Brewers,San Diego Padres,2
Milwaukee Brewers,San Francisco Giants,2
Milwaukee Brewers,Seattle Mariners,3
Milwaukee Brewers,Tampa Bay Rays,2
Milwaukee Brewers,Texas Rangers,1
